id,plate_number,owner_id
1,5MH6LW,544210
2,Q8QKE8,962764
3,32MF7I,704800
4,PYWVC6,809544
5,VKAWII,501751
6,5UQ8D5,669628
7,XAYHR5,613210
8,PVK8WT,964663
9,3MXIHY,994953
10,BBE7FV,813922
11,448OUT,917506
12,Z91U0H,970915
13,FSXH4O,615764
14,Q7DDIJ,878866
15,BNCW0Y,746355
16,8GYZG6,850268
17,CAGIAK,702586
18,3GQ91P,794188
19,S8VE1H,526534
20,PIQJLZ,512654
21,DAABHT,935208
22,LWB32U,739715
23,55G2QQ,520603
24,DGELUM,735789
25,L8KAPY,625340
26,VXVGSC,737870
27,I998FN,834642
28,S4MMNR,544941
29,2HBSEI,629287
30,OFBKRS,812873
31,RJXA3C,745003
32,S8FF8F,823373
33,XQH2OF,918576
34,PQUDO5,561664
35,EEW2EW,988686
36,TUS09G,779546
37,KCVUSI,788137
38,VR1SCD,978657
39,1VWWT1,715490
40,VXIPLK,951792
41,OGIG0U,742154
42,TEM36I,860136
43,MUUG2H,693452
44,XIU0WJ,965361
45,57BLUY,706477
46,GW9M88,854020
47,F26KZ4,852932
48,4YOG1Z,647505
49,0RR3LG,724647
50,FRYDG3,969337
51,Q6EWBQ,708572
52,RTQUA2,967751
53,L9PEQH,855605
54,XYV56N,501915
55,RC6E7O,865889
56,XHGKBT,837395
57,5IXOHE,534035
58,Z5NG4V,777656
59,CE1LDJ,836052
60,0G64DB,522524
61,JCDDEF,624052
62,6690TG,944081
63,FRFD8Y,597388
64,8QF9HO,760954
65,IL4HP8,796132
66,PFYCEO,745337
67,5NMON8,556791
68,NX94BE,771125
69,QJANKT,698234
70,QAGOJV,902037
71,NJLM8C,539123
72,10N3RL,724339
73,H2QH7Y,678063
74,PNY8HK,726430
75,8TXWVO,658153
76,HCY3Z8,505759
77,BEIWEY,604830
78,CRW230,838403
79,C3RF3Q,814615
80,YN9J99,746471
81,ZKPB6F,547831
82,PQPZTA,982165
83,D1LQBB,673616
84,EXTIN7,526932
85,33EPV1,766662
86,C9743U,824093
87,8UXY8W,796519
88,83F29R,936328
89,TS1PE2,674050
90,1LFCMA,554004
91,YRDXXG,623304
92,BUP9R7,636243
93,EX1AQ6,614615
94,KMKG22,531710
95,0NF5O2,692767
96,KDWQIG,774940
97,088IL9,517588
98,DNJ0TC,627497
99,4KIE7S,933491
100,PTDB9Q,500303
101,FMEJ2U,793330
102,7XFIC7,879213
103,2L21DM,731729
104,RB2SFP,628119
105,7MTZCM,747985
106,1K70F6,900348
107,0921GZ,711117
108,79R1BU,825458
109,A6DIIE,587206
110,XK01LJ,857061
111,S9JWBF,972437
112,WZ2BV5,654366
113,8S3VVV,949562
114,B9O3BG,781787
115,I751N6,676418
116,R279KC,945660
117,Q7RMVL,955156
118,9P9B29,949926
119,LX7BRP,553582
120,P5GG4U,904912
121,VN7PSC,730245
122,AFEPCO,870012
123,MXBPOC,645721
124,FSCPZA,604307
125,66BFY2,996537
126,PMGNCP,889175
127,PO8I9X,805775
128,R6CSUX,770686
129,FJ49TX,820700
130,7OKZ01,684724
131,VXSYVA,935689
132,ONT076,976336
133,O1LJPQ,669708
134,JNVT3U,712678
135,KX6HB7,768593
136,04IQS2,935388
137,8O0QTY,724710
138,EV3MTE,758791
139,FZUDBN,945195
140,UETHUX,572577
141,OPLYFY,535872
142,RCMIYO,599567
143,Z7QQYO,746908
144,RS96KE,951198
145,6OMG2D,835208
146,65WN09,930565
147,NK4Q38,594228
148,65WFKO,792022
149,4HAJKH,917384
150,DJG09R,741089
151,EP3TLW,685540
152,ZCMFXO,861121
153,TZ5GUW,830164
154,038G9B,875688
155,15JKR1,751751
156,JKOA0K,696395
157,WR1UE9,849452
158,CFXAWY,785003
159,LXOYVH,623504
160,OBKWZO,932006
161,B4P4QN,880347
162,NKDQTM,756646
163,NPF68V,834613
164,SYT5V4,931856
165,7ZCKT1,990371
166,7PTQHB,585243
167,LMNX76,897091
168,G1PVIZ,912909
169,4QZT62,875959
170,XUDNBP,829231
171,JWCYXT,925176
172,J0UKXO,706122
173,6NL7XP,726927
174,95SV0A,927594
175,VO4NG4,506797
176,WESWNZ,638146
177,H880FE,745418
178,OQ9U3A,959099
179,TE7GNR,913909
180,K08LXX,741693
181,XJRH6C,675615
182,F9RWD2,704263
183,4BNSOT,530647
184,UKYL26,894079
185,1495GU,657503
186,W0N26V,904937
187,QXZTGG,932063
188,54AUQQ,511978
189,3BT24M,758101
190,BO8AG2,875130
191,YM9Y20,725528
192,A6K1S8,702445
193,B44ANQ,608622
194,A52WPA,803168
195,KEUKU3,700672
196,DUZVF6,561296
197,2VXC96,855883
198,X90FLJ,677778
199,SRI19T,916123
200,FR10A0,598428
201,Z5MEN3,635784
202,4N5377,911413
203,A003XN,762476
204,3JE5TP,974817
205,WXKMVL,876261
206,INSS2Z,910721
207,G436GH,978222
208,70QIUQ,841458
209,ITQW4Q,667860
210,GDOGD8,965513
211,5SQ9MQ,800617
212,FOW4QV,731129
213,JY81TE,727443
214,A33M9K,879872
215,NCKFCZ,960632
216,X6AFR3,667932
217,2R00FQ,998544
218,T921T9,690636
219,I6LCIV,589415
220,8KSXTF,642598
221,7LSJE2,654887
222,MSIQEJ,577977
223,JV7XRJ,592679
224,AVERFM,996137
225,TX132B,758820
226,X3COB6,514811
227,9PAQFS,810914
228,KE0E9U,992862
229,XVX2Y2,699098
230,2RDEMS,705147
231,1RW1UY,836125
232,RSUVUG,639137
233,GTHF6P,848578
234,WAEDLL,703294
235,V4CD6R,545723
236,NDI79E,770999
237,W3I4DW,709918
238,V7VGJ3,580181
239,WDRUVR,826814
240,PYIU0N,868678
241,Q93DR1,862799
242,QLAPBN,929883
243,2DMVV5,641280
244,UXD6CR,782300
245,NDYDY9,884028
246,MBAD94,916507
247,5X3K03,516139
248,CSQ442,739380
249,OZ3BVD,751924
250,1GWVJB,503612
251,SKH4V7,558344
252,RLAQC4,908193
253,O4SFI7,679534
254,YSBPME,989443
255,UQH2RL,538035
256,LHKWBA,865178
257,UVTAHM,995141
258,C1ELPQ,650199
259,UKYZ0C,753054
260,X8TAF2,723717
261,LETH2J,657399
262,V2QG0P,982398
263,1PUEQG,903972
264,N7URL2,668308
265,VW6EGB,739422
266,KW5UXG,643394
267,YYMIB0,953735
268,RPX70B,885822
269,5CKMQM,942455
270,93V1MG,593075
271,S6CZ6Z,520149
272,DOONFE,929598
273,WIHSRA,757745
274,CLYXCK,949621
275,YP8P0A,761827
276,W8TCR7,622757
277,57IDF5,781809
278,FOQV4J,607520
279,CV35LS,748771
280,I99B8B,834429
281,TDBIPR,626262
282,V4A7R0,766307
283,Q20HDY,622264
284,YTUBW2,553378
285,QR608E,549452
286,G72W1E,603200
287,FKRFVE,897468
288,UEGU8V,605421
289,AH610T,533640
290,ISM6I1,733229
291,ROD42R,993099
292,QSVO2V,531652
293,9XVOO3,767786
294,PMCS42,569435
295,GVAC6J,816872
296,K8Z8XY,891708
297,39R8H6,684828
298,36Z9XX,825666
299,PW8LPR,880446
300,EGRM3N,855923
301,L0VOD6,639468
302,JVI7H0,520837
303,5CJHVG,623858
304,WU9V79,677561
305,6HJZ4W,969009
306,QG88PB,536210
307,XAHI88,799304
308,QCOE01,780083
309,YA7GKH,728577
310,VA4VR4,664093
311,0SDEHI,727393
312,BDSRTJ,819657
313,FN90WL,829886
314,L8XEIY,669680
315,YE8WUF,893131
316,9P2UZU,527896
317,AUI1QQ,572352
318,DRDX7H,603118
319,FUEZDX,904531
320,QC1UWW,814258
321,8DF9GT,740843
322,ZZNE7R,729320
323,P3MQ2P,851865
324,EAU5WU,680250
325,ZQSO68,981030
326,RGHT8Z,742107
327,3FY7ER,956049
328,ENCRAJ,839994
329,TXWUSM,857071
330,0GZS9N,841981
331,JMP026,555206
332,PPBYNZ,655661
333,FD3X40,970520
334,P8HSYP,661142
335,HFWVLF,937010
336,GTSQJU,981491
337,TSIPXT,570311
338,JZQC4K,751003
339,QO9945,568538
340,G6UX4D,539601
341,69OAS7,639334
342,TFR3RQ,529084
343,2OVNJ2,996860
344,4B5YNJ,997590
345,TBX6QU,642230
346,HCVISJ,934023
347,ZWGQEP,971349
348,SHNKI6,857130
349,3PNBZO,519913
350,BF8LK7,963816
351,B7GV63,864008
352,40DK90,544066
353,HFT82D,653983
354,L5ARD4,512545
355,MXJ5ZH,678719
356,HXXMZM,986181
357,LT34E6,594663
358,RWVCDJ,782757
359,XUOVL8,513699
360,8XAT5C,701030
361,1ANK25,991475
362,1WXFND,757135
363,9QC3QK,832153
364,H4UWQG,537486
365,RJ1B5X,766284
366,XMYX87,790760
367,OE4P2N,941703
368,ZPR4R5,567000
369,27WZMO,826052
370,7JTQUW,697017
371,KFUF42,595884
372,HHZQ86,502203
373,07SW2R,732665
374,9DN19C,813337
375,ZRAUHW,834069
376,SFI5W5,817654
377,UE74UE,727022
378,4K0H0Y,634281
379,DXPAIC,747729
380,4TUXLO,557268
381,0ZNLTA,972296
382,PJWK3N,748816
383,B8EWW1,969542
384,50SIUR,851521
385,IGV39R,623157
386,LEZX7J,520912
387,4ADQ8L,862929
388,7REP1U,970053
389,W2G9CF,655329
390,T3EG2S,841868
391,6G9SAB,856599
392,SAPTQ8,727937
393,QC5A9E,577624
394,8KO5GU,864866
